Gene,Dengue24ha,Dengue24hb,Dengue24hc,Dengue6da,Dengue6db,Dengue6dc,MOCKA24ha,MOCKA24hb,MOCKA24hc,MOCKA6da,MOCKA6db,MOCKA6dc,MOCKB24ha,MOCKB24hb,MOCKB24hc,MOCKB6da,MOCKB6db,MOCKB6dc,MOCKC24ha,MOCKC24hb,MOCKC24hc,MOCKC6da,MOCKC6db,MOCKC6dc,RVF24ha,RVF24hb,RVF24hc,RVF6da,RVF6db,RVF6dc
110673976,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,1
110673977,2,0,17,0,22,2,14,3,57,22,17,17,8,35,0,6,6,0,0,0,3,1,5,4,2,0,0,4,10,5
110673978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673983,96,21,69,7,31,22,15,30,35,92,35,68,19,5,1,11,8,14,2,5,33,7,31,10,24,55,7,12,36,19
110673984,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,2,4,0,0,0,2,0,3,0,0,0,0,0,0,0
110673985,301,132,237,144,281,176,113,167,442,466,310,408,187,307,20,315,121,578,134,92,211,63,121,175,63,226,49,120,89,61
110673986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673987,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673991,23,9,17,19,25,13,15,15,56,18,11,14,9,0,4,10,0,22,23,8,8,5,16,13,12,47,7,4,7,4
110673992,174,162,170,184,193,135,101,78,135,163,130,125,55,101,2,82,6,105,134,144,189,40,96,143,215,327,45,56,126,38
110673993,10,11,22,15,13,5,0,22,7,5,16,43,12,12,0,35,13,67,3,3,8,3,0,0,16,7,1,4,6,2
110673994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110673996,17,13,20,0,17,6,15,13,36,39,9,24,10,0,0,10,11,8,21,8,31,0,7,8,11,5,2,10,2,1
110673997,7,3,3,2,5,7,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,3,0,6,6,20,0,0,1,3
