name,type,time,sample
Dengue24ha,Dengue,24,a
Dengue24hb,Dengue,24,b
Dengue24hc,Dengue,24,c
Dengue6da,Dengue,144,a
Dengue6db,Dengue,144,b
Dengue6dc,Dengue,144,c
MOCKA24ha,Mock,24,a
MOCKA24hb,Mock,24,b
MOCKA24hc,Mock,24,c
MOCKA6da,Mock,144,a
MOCKA6db,Mock,144,b
MOCKA6dc,Mock,144,c
MOCKB24ha,Mock,24,a
MOCKB24hb,Mock,24,b
MOCKB24hc,Mock,24,c
MOCKB6da,Mock,144,a
MOCKB6db,Mock,144,b
MOCKB6dc,Mock,144,c
MOCKC24ha,Mock,24,a
MOCKC24hb,Mock,24,b
MOCKC24hc,Mock,24,c
MOCKC6da,Mock,144,a
MOCKC6db,Mock,144,b
MOCKC6dc,Mock,144,c
RVF24ha,RVF,24,a
RVF24hb,RVF,24,b
RVF24hc,RVF,24,c
RVF6da,RVF,144,a
RVF6db,RVF,144,b
RVF6dc,RVF,144,c
