name,type,time,sample
CHIK24ha,CHIK,24,a
CHIK24hb,CHIK,24,b
CHIK24hc,CHIK,24,c
CHIK6ja,CHIK,144,a
CHIK6jb,CHIK,144,b
CHIK6jc,CHIK,144,c
Dengue24ha,Dengue,24,a
Dengue24hb,Dengue,24,b
Dengue24hc,Dengue,24,c
Dengue6ja,Dengue,144,a
Dengue6jb,Dengue,144,b
Dengue6jc,Dengue,144,c
MOCKA24ha,Mock,24,a
MOCKA24hb,Mock,24,b
MOCKA24hc,Mock,24,c
MOCKA6ja,Mock,144,a
MOCKA6jb,Mock,144,b
MOCKA6jc,Mock,144,c
MOCKB24ha,Mock,24,a
MOCKB24hb,Mock,24,b
MOCKB24hc,Mock,24,c
MOCKB6ja,Mock,144,a
MOCKB6jb,Mock,144,b
MOCKB6jc,Mock,144,c
MOCKC24ha,Mock,24,a
MOCKC24hb,Mock,24,b
MOCKC24hc,Mock,24,c
MOCKC6ja,Mock,144,a
MOCKC6jb,Mock,144,b
MOCKC6jc,Mock,144,c
RVF24ha,RVF,24,a
RVF24hb,RVF,24,b
RVF24hc,RVF,24,c
RVF6ja,RVF,144,a
RVF6jb,RVF,144,b
RVF6jc,RVF,144,c
