Gene stable ID	Transcript stable ID	Gene description	GO term accession	GO term name
AAEL003237	AAEL003237-RA	low molecular weight protein-tyrosine-phosphatase [Source:VB Community Annotation]	GO:0004725	protein tyrosine phosphatase activity
AAEL003237	AAEL003237-RA	low molecular weight protein-tyrosine-phosphatase [Source:VB Community Annotation]	GO:0005737	cytoplasm
AAEL003237	AAEL003237-RA	low molecular weight protein-tyrosine-phosphatase [Source:VB Community Annotation]	GO:0003993	acid phosphatase activity
AAEL003237	AAEL003237-RA	low molecular weight protein-tyrosine-phosphatase [Source:VB Community Annotation]	GO:0004726	non-membrane spanning protein tyrosine phosphatase activity
AAEL003237	AAEL003237-RA	low molecular weight protein-tyrosine-phosphatase [Source:VB Community Annotation]	GO:0006470	protein dephosphorylation
AAEL014602	AAEL014602-RA			
AAEL010223	AAEL010223-RA	phosphatidylserine decarboxylase [Source:VB Community Annotation]	GO:0008654	phospholipid biosynthetic process
AAEL010223	AAEL010223-RA	phosphatidylserine decarboxylase [Source:VB Community Annotation]	GO:0005739	mitochondrion
AAEL010223	AAEL010223-RA	phosphatidylserine decarboxylase [Source:VB Community Annotation]	GO:0004609	phosphatidylserine decarboxylase activity
AAEL010223	AAEL010223-RA	phosphatidylserine decarboxylase [Source:VB Community Annotation]	GO:0031305	integral component of mitochondrial inner membrane
AAEL010223	AAEL010223-RA	phosphatidylserine decarboxylase [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL010223	AAEL010223-RA	phosphatidylserine decarboxylase [Source:VB Community Annotation]	GO:0006646	phosphatidylethanolamine biosynthetic process
AAEL010223	AAEL010223-RA	phosphatidylserine decarboxylase [Source:VB Community Annotation]	GO:0016540	protein autoprocessing
AAEL013583	AAEL013583-RA	60S ribosomal protein L23 (L17A)(AeRpL17A) [Source:VB Community Annotation]	GO:0003735	structural constituent of ribosome
AAEL013583	AAEL013583-RA	60S ribosomal protein L23 (L17A)(AeRpL17A) [Source:VB Community Annotation]	GO:0006412	translation
AAEL013583	AAEL013583-RA	60S ribosomal protein L23 (L17A)(AeRpL17A) [Source:VB Community Annotation]	GO:0005840	ribosome
AAEL011704	AAEL011704-RA	heat shock protein [Source:VB Community Annotation]	GO:0005524	ATP binding
AAEL011704	AAEL011704-RA	heat shock protein [Source:VB Community Annotation]	GO:0006457	protein folding
AAEL011704	AAEL011704-RA	heat shock protein [Source:VB Community Annotation]	GO:0051082	unfolded protein binding
AAEL011704	AAEL011704-RA	heat shock protein [Source:VB Community Annotation]	GO:0006950	response to stress
AAEL009206	AAEL009206-RA	organic cation transporter [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL009206	AAEL009206-RA	organic cation transporter [Source:VB Community Annotation]	GO:0005215	transporter activity
AAEL009206	AAEL009206-RA	organic cation transporter [Source:VB Community Annotation]	GO:0055085	transmembrane transport
AAEL007506	AAEL007506-RA	lava lamp protein [Source:VB Community Annotation]		
AAEL005550	AAEL005550-RA		GO:0003676	nucleic acid binding
AAEL012547	AAEL012547-RA	lkb1 interacting protein [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL014889	AAEL014889-RA	NADH:ubiquinone dehydrogenase, putative [Source:VB Community Annotation]	GO:0006120	mitochondrial electron transport, NADH to ubiquinone
AAEL014889	AAEL014889-RA	NADH:ubiquinone dehydrogenase, putative [Source:VB Community Annotation]	GO:0005747	mitochondrial respiratory chain complex I
AAEL013940	AAEL013940-RA	chromatin assembly factor i P60 subunit [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL010135	AAEL010135-RA			
AAEL012786	AAEL012786-RA		GO:0008270	zinc ion binding
AAEL012786	AAEL012786-RA		GO:0006508	proteolysis
AAEL012786	AAEL012786-RA		GO:0008237	metallopeptidase activity
AAEL009224	AAEL009224-RA		GO:0003676	nucleic acid binding
AAEL009224	AAEL009224-RB		GO:0003676	nucleic acid binding
AAEL015380	AAEL015380-RA		GO:0003676	nucleic acid binding
AAEL009373	AAEL009373-RA	n-acetyltransferase [Source:VB Community Annotation]	GO:0008080	N-acetyltransferase activity
AAEL002384	AAEL002384-RA			
AAEL005954	AAEL005954-RA	chloride channel protein 2 [Source:VB Community Annotation]	GO:0016020	membrane
AAEL005954	AAEL005954-RA	chloride channel protein 2 [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL005954	AAEL005954-RA	chloride channel protein 2 [Source:VB Community Annotation]	GO:0005216	ion channel activity
AAEL005954	AAEL005954-RA	chloride channel protein 2 [Source:VB Community Annotation]	GO:0055085	transmembrane transport
AAEL005954	AAEL005954-RA	chloride channel protein 2 [Source:VB Community Annotation]	GO:0005247	voltage-gated chloride channel activity
AAEL005954	AAEL005954-RA	chloride channel protein 2 [Source:VB Community Annotation]	GO:0006821	chloride transport
AAEL003769	AAEL003769-RA	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0008235	metalloexopeptidase activity
AAEL003769	AAEL003769-RA	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0006508	proteolysis
AAEL003769	AAEL003769-RA	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0046872	metal ion binding
AAEL003769	AAEL003769-RA	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0004177	aminopeptidase activity
AAEL003769	AAEL003769-RB	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0008235	metalloexopeptidase activity
