NCBI gene ID	Gene description	GOSlim GOA Accession(s)	GOSlim GOA Description
5576313		GO:0005575	cellular_component
5576313		GO:0006810	transport
5576313		GO:0008150	biological_process
5576313		GO:0055085	transmembrane transport
5568018	alcohol dehydrogenase [Source:VB Community Annotation]	GO:0008150	biological_process
5568018	alcohol dehydrogenase [Source:VB Community Annotation]	GO:0044281	small molecule metabolic process
5568018	alcohol dehydrogenase [Source:VB Community Annotation]	GO:0006091	generation of precursor metabolites and energy
5568018	alcohol dehydrogenase [Source:VB Community Annotation]	GO:0016491	oxidoreductase activity
5568018	alcohol dehydrogenase [Source:VB Community Annotation]	GO:0043167	ion binding
5568018	alcohol dehydrogenase [Source:VB Community Annotation]	GO:0003674	molecular_function
5577040		GO:0003674	molecular_function
5577040		GO:0008150	biological_process
5577040		GO:0008233	peptidase activity
5576383	jnk/sapk-associated protein [Source:VB Community Annotation]	GO:0005198	structural molecule activity
5576383	jnk/sapk-associated protein [Source:VB Community Annotation]	GO:0019899	enzyme binding
5576383	jnk/sapk-associated protein [Source:VB Community Annotation]	GO:0003674	molecular_function
5567169		GO:0003674	molecular_function
5579202		GO:0003674	molecular_function
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0003674	molecular_function
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0005575	cellular_component
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0005622	intracellular
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0005623	cell
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0005737	cytoplasm
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0005773	vacuole
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0043226	organelle
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0006629	lipid metabolic process
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0008150	biological_process
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0016791	phosphatase activity
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0005764	lysosome
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0005768	endosome
5574542	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase [Source:UniProtKB/TrEMBL;Acc:Q16QP8]	GO:0031410	cytoplasmic vesicle
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0003674	molecular_function
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0003735	structural constituent of ribosome
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0005198	structural molecule activity
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0006412	translation
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0008150	biological_process
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0009058	biosynthetic process
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0034641	cellular nitrogen compound metabolic process
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0005737	cytoplasm
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0005840	ribosome
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0032991	protein-containing complex
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0043226	organelle
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0005575	cellular_component
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0005622	intracellular
5567070	60S ribosomal protein L26 [Source:UniProtKB/TrEMBL;Acc:Q178R6]	GO:0005623	cell
5570967	AAA ATPase [Source:VB Community Annotation]	GO:0043167	ion binding
5570967	AAA ATPase [Source:VB Community Annotation]	GO:0003674	molecular_function
5577707	heat shock protein 26kD, putative [Source:VB Community Annotation]	GO:0003674	molecular_function
5577707	heat shock protein 26kD, putative [Source:VB Community Annotation]	GO:0043167	ion binding
5573265	Cytosolic Fe-S cluster assembly factor NUBP1 homolog [Source:VB Community Annotation]	GO:0006790	sulfur compound metabolic process
5573265	Cytosolic Fe-S cluster assembly factor NUBP1 homolog [Source:VB Community Annotation]	GO:0008150	biological_process
5573265	Cytosolic Fe-S cluster assembly factor NUBP1 homolog [Source:VB Community Annotation]	GO:0022607	cellular component assembly
5573265	Cytosolic Fe-S cluster assembly factor NUBP1 homolog [Source:VB Community Annotation]	GO:0051186	cofactor metabolic process
5573265	Cytosolic Fe-S cluster assembly factor NUBP1 homolog [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5573265	Cytosolic Fe-S cluster assembly factor NUBP1 homolog [Source:VB Community Annotation]	GO:0043167	ion binding
